Actual,Predicted
[0.6092386841773987],[0.4591331481933594]
[0.6000000238418579],[0.7125584483146667]
[0.7400000095367432],[0.710311770439148]
[0.6000000238418579],[0.710311770439148]
[0.28999999165534973],[0.7125584483146667]
[0.7400000095367432],[0.6193937063217163]
[0.46000000834465027],[0.6193937063217163]
[0.004632242023944855],[0.19934093952178955]
[1.0],[0.6193937063217163]
[-0.01901479810476303],[0.24314406514167786]
[0.8555095195770264],[0.6255704164505005]
[0.8207498788833618],[0.6193937063217163]
[0.14955982565879822],[0.19934093952178955]
[0.20613862574100494],[0.20496749877929688]
[0.9489050507545471],[0.6255704164505005]
[-0.09922794997692108],[0.17851179838180542]
[0.39440420269966125],[0.19927483797073364]
[-0.06447793543338776],[0.330666720867157]
[0.6499999761581421],[0.7125584483146667]
[0.3998233675956726],[0.24078238010406494]
[0.6399999856948853],[0.710311770439148]
[0.5600000023841858],[0.6193937063217163]
[0.7972924709320068],[0.5828931927680969]
[0.9795734882354736],[0.6193937063217163]
[0.6700000166893005],[0.7125584483146667]
[0.6800000071525574],[0.710311770439148]
[0.6404914259910583],[0.6255704164505005]
[0.1939244419336319],[0.24078238010406494]
[0.8899999856948853],[0.710311770439148]
[0.8899999856948853],[0.7125584483146667]
[0.38518187403678894],[0.5828931927680969]
[0.9342787861824036],[0.4591331481933594]
[-0.0826074555516243],[0.24314406514167786]
[0.7634262442588806],[0.4591331481933594]
[-0.08214264363050461],[0.330666720867157]
[0.25999999046325684],[0.6193937063217163]
[-0.040123652666807175],[0.24078238010406494]
[0.07950051873922348],[0.253811776638031]
[0.9651039838790894],[0.6538420915603638]
[1.0],[0.710311770439148]
[0.5199999809265137],[0.7125584483146667]
[0.02989567629992962],[0.22174769639968872]
[1.0],[0.7125584483146667]
[0.5699999928474426],[0.6193937063217163]
[0.9100000262260437],[0.6193937063217163]
[0.3700000047683716],[0.710311770439148]
[-0.0850699320435524],[0.34963589906692505]
[0.8700000047683716],[0.710311770439148]
[0.2689269781112671],[0.44603145122528076]
[0.5600000023841858],[0.710311770439148]
[0.9992152452468872],[0.6538420915603638]
[0.949999988079071],[0.6193937063217163]
[1.0],[0.710311770439148]
[0.7400000095367432],[0.710311770439148]
[0.9460417628288269],[0.6538420915603638]
[0.2970033884048462],[0.1990673840045929]
[0.8899999856948853],[0.7125584483146667]
[0.699999988079071],[0.710311770439148]
[0.04872593656182289],[0.24314406514167786]
[1.0],[0.6193937063217163]
[0.5299999713897705],[0.710311770439148]
[0.6869294047355652],[0.2290370762348175]
[0.8675829768180847],[0.24078238010406494]
[0.4139670431613922],[0.19927483797073364]
[0.9749448299407959],[0.24314406514167786]
[-0.1138157770037651],[0.24078238010406494]
[0.44999998807907104],[0.6193937063217163]
[1.0],[0.7125584483146667]
[0.4699999988079071],[0.710311770439148]
[0.9220924973487854],[0.19927483797073364]
[0.30000001192092896],[0.710311770439148]
[0.9960708022117615],[0.4591331481933594]
[1.0],[0.710311770439148]
[0.010523056611418724],[0.44603145122528076]
[0.5299999713897705],[0.710311770439148]
[0.8100000023841858],[0.7125584483146667]
